   1    0   12    1  999  999  999    0    0    0
   2    0   48    3    1  999   16    0    0    0
   3    1   28    1    1   15   13    0   30    0
   4    0   18    2    0  999   14    0  999    0
   5    1   16    2  999  999  999    0    0    0
   6    1   24    1    1  999   16    4    0    1
   7    1   27    1    1   14   13    5   30    1
   8    0   34    2    0   28   24    0    0    0
   9    1   16    2  999   16   15    1   30    0
  10    1   13    1  999  999  999    0    0    0
  11    0   17    1  999  999   16    0    0    0
  12    1   26    1    1  999   10    0    0    0
  13    1   17    1  999   15   16    3   30    0
  14    1   30    1    1  999   18    1    0    0
  15    1   56    1    0  999   21    0    0    0
  16    1   62    3    0   17   18    0    0    0
  17    0   32    3    0   15   10    0    7    0
  18    0   22    1    1  999   18  999    0  999
  19    1   12    2  999  999  999  999    0  999
  20    1   36    1    0   23   17    2  999    0
  21    0   16    1  999  999  999    0    0    0
  22    0   26    2    0  999  999    0    0    0
  23    1   31    1    0   19   16  999    0  999
  24    0   67    1    0   20   22    0  999    0
  25    0   65    1    0  999   21    5    0    1
  26    0   29    3    1  999   18    2    0    0
  27    1   16    1  999   15  999    0  999    0
  28    0   65    3    0   18  999    0   23    0
  29    0   25    1    1  999  999    0    0    0
  30    0   44    1    0   14   30    0   30    0
  31    1   31    3    0   14   25    8   30    1
  32    1   14    3  999  999  999    0    0    0
  33    0   34    1    0   16   17    0    0    0
  34    1   32    1    1   21   18    1   30    0
  35    0   39    1    0   16   15    6    0    1
  36    1   25    1    1  999   15    4    0    1
  37    0   18    1    0  999   13    5  999    1
  38    0   77    1    0   18   20    0   30    0
  39    0   72    1    0  999   16    0    0    0
  40    0   17    1  999   12   12    0  999    0
  41    1   63    1    0   14   10    3    0    0
  42    0   60    1    0  999   18    0    0    0
  43    1   38    1    1  999   12    0    0    0
  44    0   85    1    0  999  999    0    0    0
  45    0   45    1    0  999   18  999    0  999
  46    0   14    1  999  999  999    0    0    0
  47    1   20    1    0   15   14    4  999    1
  48    1   21    1    0   18   15    6   30    1
  49    0   24    3    0   15   18   14   30    1
  50    1   77    1    0   26   15   14  999    1
  51    1   23    1    1  999   19    4    0    1
  52    1   13    3  999   13   12   30   12    1
  53    0   26    3    0  999  999    0    0    0
  54    0   31    3    0   17   16    4   15    1
  55    0   27    1    1   15   16    1  999    0
  56    0   31    1    0   26   18    1    0    0
  57    1   19    1    0  999  999    0    0    0
  58    1   13    1  999  999   11    1  999    0
  59    0   39    1    1  999   25    1    1    0
  60    1   22    2    0   17   18    2   20    0
  61    0   12    1  999  999  999    0    0    0
  62    0   21    2    0  999   19    2    0    0
  63    1   17    1  999   13   16    2  999    0
  64    0   33    1    0  999  999    0    0    0
  65    1   19    1    0  999   13    2    5    0
  66    1   60    1    0   12   21    1  999    0
  67    0   72    1    0   42   21    1   30    0
  68    1   34    1    1  999   18  999   20  999
  69    0   51    1    0  999  999  999    0  999
  70    0   25    3    0   14   14    0  999    0
  71    0   12    1  999  999  999    0    0    0
  72    0   42    1    1  999   15    0    0    0
  73    1   14    1  999  999  999    0    0    0
  74    1   25    1    0  999   14  999    1  999
  75    0   24    1    1  999   18    2    0    0
  76    0   40    1    1   21   16  999    0  999
  77    0   65    1    0  999   27    0    0    0
  78    1   60    1    0   15   18    0    0    0
  79    0   14    1  999  999  999    0    0    0
  80    0   14    1  999  999  999    0    0    0
  81    1   44    1    1  999  999    0    0    0
  82    1   17    1  999  999  999  999   30  999
  83    1   47    1    0   12   35    0    0    0
  84    0   82    3    0  999   16    3    0    0
  85    0   13    1  999  999  999    0    0    0
  86    0   28    1    0  999   18    1    0    0
  87    1   14    1  999  999  999    0  999    0
  88    1   19    3    1  999   16  999    0  999
  89    1   22    3    0   13   15   30   30    1
  90    0   20    1    1  999  999    0    0    0
  91    0   34    1    0  999  999    0    0    0
  92    0   25    1    1  999  999    0    0    0
  93    0   20    2    0  999   20    0    0    0
  94    0   39    3    0   18   22  999    3  999
  95    1   51    1    0   17   17    1    0    0
  96    1   25    1    1   20   20    2   30    0
  97    1   25    1    1   16   18    8   18    1
  98    0   19    1    1   18   18    3   30    0
  99    0   50    3    1  999   15    0    0    0
 100    1   28    1    0   20   18    2   30    0
 101    1   34    1    1   17   16    1   30    0
 102    1   34    1    1   20   20    2   30    0
 103    0   30    1    1   17   20    0   30    0
 104    1   49    1    0   14   14    6  999    1
 105    0   14    1  999  999   11    2    0    0
 106    0   13    1  999  999  999    0    0    0
 107    1   15    1  999  999  999    0    0    0
 108    0   12    1  999  999  999    0    0    0
 109    1   28    1    0   22   22    0   30    0
 110    0   68    1    0   34  999    0   30    0
 111    0   44    1    1  999   18    1    0    0
 112    0   36    1    1  999   18    0    0    0
 113    1   47    1    0  999  999    0    0    0
 114    0   72    1    0  999  999    0    0    0
 115    0   17    1  999  999  999    0    0    0
 116    1   46    1    1  999   18    0    0    0
 117    1   50    3    0   21   18   20  999    1
 118    0   25    1    1   21   16    0   10    0
 119    0   25    3    0   16   16   15  999    1
 120    1   24    3    0  999   10  999    0  999
 121    1   18    2    0  999  999    0    0    0
 122    1   29    1    0   10   10   30   30    1
 123    1   24    3    0   17   15    4   30    1
 124    1   29    3    0  999   10    4    0    1
 125    0   18    3    0  999   18    2    0    0
 126    1   22    1    1   10   14    5  999    1
 127    1   19    1    0   18   15  999  999  999
 128    1   45    2    0   18   19    0   30    0
 129    0   51    1    1   18   18    0    0    0
 130    0   25    1    0  999   19    0    0    0
 131    1   24    1    0   12   17    0   30    0
 132    1   12    2  999  999  999    0    0    0
 133    1   22    1    1  999   10    5    0    1
 134    1   13    1  999  999   10    6  999    1
 135    1   15    1  999   10   13    3   30    0
 136    1   31    1    1  999   21    2    0    0
 137    0   18    2    0   12   14   14   30    1
 138    0   77    1    0  999   18    4    0    1
 139    1   13    1  999  999  999  999  999  999
 140    0   22    3    0   18   15  999   30  999
 141    1   20    3    0   19   15  999   30  999
 142    0   17    1  999   17   13    3   20    0
 143    0   27    1    0   26   17    1   30    0
 144    0   40    1    1  999   18  999    0  999
 145    1   38    1    0  999   17   10    0    1
 146    0   16    1  999   15   15   10    0    1
 147    1   44    1    1  999   20    2    0    0
 148    1   14    1  999  999  999    0    0    0
 149    0   16    1  999  999   15    3  999    0
 150    0   15    1  999  999  999    0    0    0
 151    1   27    2    0  999   18    1    9    0
 152    1   27    1    1  999   14    5    0    1
 153    0   42    1    0   18   18    1   30    0
 154    1   17    2  999  999   15    0  999    0
 155    1   17    1  999  999   13   20  999    1
 156    1   16    1  999  999   15    0    0    0
 157    1   23    1    1   19   10    2   30    0
 158    0   23    1    0   16   16   15  999    1
 159    0   49    1    0   16   17  999   30  999
 160    1   21    1    1  999   14    4    1    1
 161    1   14    1  999  999  999    0    0    0
 162    0   16    1  999  999   14    0    0    0
 163    1   16    1  999  999   10    0    0    0
 164    0   40    1    0   10   18    0   30    0
 165    0   40    1    1  999   23    0    0    0
 166    0   72    1    0  999  999    0    0    0
 167    1   63    1    0   20   16   15   10    1
 168    1   55    1    1   25   10   30  999    1
 169    1   15    1  999  999   13    0  999    0
 170    1   35    3    0  999  999   20    0    1
 171    0   49    3    0   34   19    0   20    0
 172    1   23    1    1  999   18   12    0    1
 173    1   52    1    0   13   16    0    0    0
 174    0   36    1    0   17   17    0   28    0
 175    1   14    2  999  999  999    0    0    0
 176    0   20    2    0  999  999    0    0    0
 177    0   31    1    1   16   15    0    0    0
 178    1   49    1    1  999   21    0  999    0
 179    0   50    2    0  999   15    0    0    0
 180    1   17    1  999  999   17    1    2    0
 181    0   72    1    1   18   18   30   30    1
 182    0   72    1    1  999   20    0    0    0
 183    0   72    1    1   17   18   30    0    1
 184    0   45    1    0  999   25    0  999    0
 185    1   67    1    1   18   15   20    0    1
 186    1   85    1    1   18   18   30    0    1
 187    1   27    1    0  999   12  999    0  999
 188    0   32    1    1   15   15  999   30  999
 189    1   34    1    1  999   15   10    0    1
 190    0   17    3  999  999  999    0    0    0
 191    1   18    3    0  999  999    0    1    0
 192    0   67    3    0   20   22    0   30    0
 193    0   18    3    0  999   17    0  999    0
 194    1   20    3    1  999   15    0    0    0
 195    0   66    3    0  999  999    0  999    0
 196    0   33    3    0   15   16    0   30    0
 197    0   25    3    0   17   16    4   30    1
 198    0   77    3    0  999  999    0    0    0
 199    0   68    1    1  999  999    0    0    0
 200    1   12    3  999  999  999    0    0    0
 201    1   15    1  999  999  999    0    0    0
 202    0   12    3  999  999  999    0    0    0
 203    0   34    1    0  999  999    0    0    0
 204    1   20    1    0  999   13    0    0    0
 205    0   15    1  999  999  999  999    0  999
 206    1   18    3    0  999   16    0  999    0
 207    0   37    1    0   17   17    3   30    0
 208    1   34    2    0   16  999    3   30    0
 209    1   14    3  999  999  999    0    0    0
 210    0   25    1    0   18   15    0  999    0
 211    1   35    3    1  999   19    0    0    0
 212    0   24    3    0   22   16    8   30    1
 213    0   21    3    0  999   17    1    0    0
 214    1   18    3    0  999  999    0  999    0
 215    1   15    3  999  999  999    0    0    0
 216    0   30    1    0   21   17    2    0    0
 217    1   51    1    1   21   20    0   30    0
 218    1   16    3  999  999  999    0    0    0
 219    1   42    1    0   13   10   10  999    1
 220    0   17    1  999  999   17    0    0    0
 221    1   24    2    0   24   15    8  999    1
 222    0   32    2    0  999  999    0    0    0
 223    0   72    1    0   17   21    4  999    1
 224    0   12    1  999  999  999  999    0  999
 225    1   33    1    1  999   12   30    1    1
 226    1   12    3  999  999  999    0    0    0
 227    0   34    1    0   13   17    7   30    1
 228    1   16    2  999  999  999    0  999    0
 229    0   31    1    0   25   12    0    0    0
 230    0   63    1    0  999  999    0    0    0
 231    0   30    1    0  999   19    0    0    0
 232    1   19    3    0  999  999    0    0    0
 233    1   28    1    0  999  999    0    0    0
 234    0   47    1    0   18   18    4   30    1
 235    0   31    1    0  999   14    0    0    0
 236    0   52    1    1   18   20   30   30    1
 237    0   22    1    0  999  999    0    0    0
 238    0   58    1    1  999   17   24  999    1
 239    0   44    1    0  999   30    0    0    0
 240    0   15    1  999  999  999    0    0    0
 241    1   54    1    1   17   16    0    0    0
 242    1   13    1  999  999  999    0    0    0
 243    1   30    1    0   19   19    4   30    1
 244    0   47    1    0  999  999    0    0    0
 245    1   17    1  999   16   17    5   30    1
 246    1   13    1  999  999  999    0    2    0
 247    1   16    1  999  999  999    0    0    0
 248    0   12    1  999  999  999    0    1    0
 249    1   54    3    0  999   14    0    0    0
 250    0   25    3    0  999   18    0   12    0
 251    0   26    1    1   23   18    2   30    0
 252    0   31    3    0   18   22    8   30    1
 253    0   25    3    0  999   21    0    0    0
 254    0   58    1    0   15   30  999    0  999
 255    0   40    3    0  999  999    2    0    0
 256    1   14    3  999  999  999    0    0    0
 257    1   19    3    0  999   16    0   30    0
 258    1   14    3  999  999  999    0    0    0
 259    0   24    3    0  999   19    2    0    0
 260    1   26    3    0  999  999    0    0    0
 261    0   59    3    0  999   20    3    0    0
 262    0   22    3    1  999  999    0    0    0
 263    0   14    1  999  999  999    0    0    0
 264    1   16    1  999  999   13    0    0    0
 265    0   19    1    0   16   12    2   30    0
 266    0   25    2    1  999   16    1    0    0
 267    0   19    3    0  999   18    0   20    0
 268    0   43    3    0  999  999    0    0    0
 269    1   32    3    0  999   14    0    0    0
 270    0   14    3  999  999   10    0    0    0
 271    1   47    3    1  999   16  999    0  999
 272    0   35    1    1  999   16    2    0    0
 273    0   22    3    1   16   16    0    0    0
 274    0   19    3    0   18   12    0   15    0
 275    1   18    3    0  999   15   15   15    1
 276    1   47    3    0   19   19    0    0    0
 277    0   33    3    0  999   16   30   10    1
 278    0   48    3    1  999   20    5  999    1
 279    1   17    3  999  999  999    0  999    0
 280    0   24    3    1  999  999    0    0    0
 281    0   19    3    0  999  999    0    0    0
 282    1   24    3    0   21   20    0  999    0
 283    1   21    3    0  999   14    1    1    0
 284    0   25    3    0  999   17  999  999  999
 285    0   30    3    1   13   15   30   30    1
 286    1   18    3    0  999   14  999   13  999
 287    0   33    1    0   19   18  999   30  999
 288    0   32    3    1  999  999    0    0    0
 289    0   56    3    0   21  999    0    0    0
 290    1   32    3    0  999   18    0    0    0
 291    1   14    3  999  999  999    0    0    0
 292    0   27    3    0  999   19    1    0    0
 293    0   19    3    0  999  999    0    0    0
 294    0   20    3    0   16   18    5   30    1
 295    0   23    3    0  999  999    0    0    0
 296    0   28    3    0   20   17    2   30    0
 297    1   22    3    0  999   15    5    0    1
 298    0   34    3    1  999   21  999    0  999
 299    1   18    1    0  999  999    0    0    0
 300    0   19    1    0   17   16   16   30    1
 301    0   30    3    1  999  999    0    0    0
 302    0   39    3    0   19   18    2   30    0
 303    1   40    2    0   14   17   15    3    1
 304    1   36    1    0   13   15    0    0    0
 305    0   25    1    1   15   15  999   30  999
 306    0   30    3    0   18   21    1    0    0
 307    1   16    3  999  999  999    0    0    0
 308    1   54    1    1  999   16    4    0    1
 309    1   47    3    0  999   17    0    0    0
 310    0   29    3    0  999   21    1    0    0
 311    1   22    1    0   19   18    0   30    0
 312    0   13    3  999  999  999    0    0    0
 313    1   19    3    1   16   16    1    0    0
 314    0   15    3  999  999  999    0    0    0
 315    0   72    3    0   31   22    0    0    0
 316    0   18    3    0  999   16    0    0    0
 317    0   23    3    1  999   18    0    0    0
 318    0   26    2    0  999  999    0    0    0
 319    0   16    3  999  999  999    0    0    0
 320    0   22    1    1  999   20    0    0    0
 321    0   18    1    0  999  999    0    0    0
 322    1   14    3  999  999   12    0    3    0
 323    0   21    1    0   16   15    0   30    0
 324    0   66    1    0  999  999    0    0    0
 325    0   21    1    1  999  999    0    0    0
 326    0   16    1  999   14   16    0   30    0
 327    0   34    1    0  999   21    1    0    0
 328    1   14    1  999  999  999    0    0    0
 329    1   28    1    0   16   16    2   30    0
 330    0   23    1    0   14   16    0    0    0
 331    1   27    1    1   16   16    0    0    0
 332    0   72    1    0  999  999    0    0    0
 333    1   24    1    0   15   15    0   30    0
 334    0   28    1    1  999   16    0    0    0
 335    1   16    1  999  999  999    0    0    0
 336    1   21    3    1  999   21    3    0    0
 337    1   34    1    1   16   16    0   30    0
 338    0   34    2    0  999   17    0    0    0
